Plasmid,Concentration,Replicate,mCherry,GFP
pLac,0.001,2,1.966700799946024,2.516968249559256
pLac,0.001,2,1.846521021286467,2.82846103569238
pLac,0.001,2,2.230285672947027,2.484380420959063
pLac,0.001,2,2.171538614061482,2.3547019164106344
pLac,0.001,2,1.9883254771338,2.4518073711039348
pLac,0.001,2,1.6966632988554706,2.6424149752205373
pLac,0.001,2,1.6758021325597086,2.601889565272089
pLac,0.001,2,1.711689075538768,2.9616990434859516
pLac,0.001,2,2.3805065399810568,2.4689854322645512
pLac,0.001,2,1.916914487373032,2.4326594171712466
pLac,0.001,2,0.7378396736605367,2.149731687609574
pLac,0.001,2,2.3370638481401085,2.489015268883476
pLac,0.001,2,2.4180721807770893,2.5287479080929818
pLac,0.001,2,1.6367514089099569,2.6090452041388312
pLac,0.001,2,1.8203317521247653,2.4221107677009948
pLac,0.001,2,1.5465126946565917,2.671976638456316
pLac,0.001,2,1.8317457209948085,2.7742103937720755
pLac,0.001,2,1.7067368680053523,1.635874735964595
pLac,0.001,2,2.0498114251527206,2.4970152780118067
pLac,0.001,2,2.5755562208594016,2.5863028863533923
pLac,0.001,2,1.5245304394234362,2.5682320021361846
pLac,0.001,2,1.670429727833249,2.3638791431884147
pLac,0.001,2,1.7067368680053523,2.671976638456316
pLac,0.001,2,1.6915393346978531,2.154536402119829
pLac,0.001,2,2.0700121956365702,2.4480411717673456
pLac,0.001,2,2.256975753419876,2.66887106962587
pLac,0.001,2,1.404473793967396,1.7412140601108004
pLac,0.001,2,2.0498114251527206,2.87049003429126
pLac,0.001,2,1.404473793967396,2.450555402951764
pLac,0.001,2,1.4511714671198366,2.7279940837330003
pLac,0.001,2,2.137078970170513,2.3227136330886817
pLac,0.001,2,2.080849360543697,2.43784417338834
pLac,0.001,2,1.9935707213477791,2.716201472868183
pLac,0.001,2,2.008943983711916,2.8245935566832143
pLac,0.001,2,2.023801842998544,2.4180916525759244
pLac,0.001,2,2.4220561892939467,2.3484801798221566
pLac,0.001,2,2.0013240029617503,2.5473943310380607
pLac,0.001,2,2.103797533264525,2.5308575487890552
pLac,0.001,2,2.4279658496882868,2.5872345537660744
pLac,0.001,2,1.955479492658328,2.5604050141770966
pLac,0.001,2,2.720256557445441,2.335777748081416
pLac,0.001,2,2.0334373955957075,2.1890523713033816
pLac,0.001,2,2.0589033944957427,2.769855212192005
pLac,0.001,2,2.298171140094444,2.4480411717673456
pLac,0.001,2,1.3522702368032804,2.0225346215036017
pLac,0.001,2,1.9138041731126003,2.266386016028934
pLac,0.001,2,1.593924659604581,2.7571791009952458
pLac,0.001,2,2.818752837561868,2.3421729184062547
pLac,0.001,2,1.6594855183746522,2.2453079616707123
pLac,0.001,2,1.9803393518248444,2.74082505196084
pLac,0.001,2,1.6758021325597086,2.55344513577322
pLac,0.001,2,2.3136337999705403,2.2021631501874506
pLac,0.001,2,2.2669361268180994,2.4153925504218328
pLac,0.001,2,2.0475089889972122,2.8000931626405525
pLac,0.001,2,2.5866372471004437,2.4924609374643234
pLac,0.001,2,1.726222114024336,2.1146115760831767
pLac,0.001,2,2.1078452140284725,2.3421729184062547
pLac,0.001,2,1.5536043333587997,2.681169187170957
pLac,0.001,2,1.711689075538768,2.849431287978365
pLac,0.001,2,1.8712487540655964,2.7622916446182586
pLac,0.001,2,1.6127878452222115,2.9500293053216082
pLac,0.001,2,1.3295361273385853,1.8169602503596969
pLac,0.001,2,1.7671636288275951,1.7170586913068349
pLac,0.001,2,1.6649914023863277,2.3126655079861105
pLac,0.001,2,2.0997125461613257,2.6332460843535763
pLac,0.001,2,2.490803281365958,2.175555926464182
pLac,0.001,2,1.9410411487491712,2.6578330036648783
pLac,0.001,2,1.4769972938969185,2.3802416758607894
pLac,0.001,2,0.8186478627117242,2.661805721495496
pLac,0.001,2,1.87467130360714,2.2971682962177264
pLac,0.001,2,2.008943983711916,2.3547019164106344
pLac,0.001,2,1.7671636288275951,2.769855212192005
pLac,0.001,2,1.4142152402368375,2.3516015935134313
pLac,0.001,2,2.6705127007337017,2.5287479080929818
pLac,0.001,2,2.4337977491344542,2.101387431900668
pLac,0.001,2,1.949760471848504,2.4442438035301883
pLac,0.001,2,1.4142152402368375,2.43784417338834
pLac,0.001,2,1.891398494906512,3.2009197935258094
pLac,0.001,2,1.493414650885729,2.396040752944139
pLac,0.001,2,1.6863554397764071,2.8000931626405525
pLac,0.001,2,1.881438121508288,2.5453595337207133
pLac,0.001,2,1.493414650885729,2.041265632160801
pLac,0.001,2,1.6539103761452865,2.920837987695589
pLac,0.001,2,1.6649914023863277,2.4555429090474954
pLac,0.001,2,1.4330784258544678,2.4518073711039348
pLac,0.001,2,1.3177162811844934,2.42344268748413
pLac,0.001,2,1.404473793967396,2.8161946758832235
pLac,0.001,2,2.372817311833952,2.4936037675522518
pLac,0.001,2,1.1780667014472117,2.60548133346058
pLac,0.001,2,1.4511714671198366,2.6938845611047997
pLac,0.001,2,1.6308808864875806,2.972275750356196
pLac,0.001,2,1.5319796561710242,2.30239240627018
pLac,0.001,2,2.3285751461433986,2.500401611042998
pLac,0.001,2,1.3177162811844934,2.509311522903168
pLac,0.001,2,1.8847831786179168,2.485543529422424
pLac,0.001,2,2.3211674311480963,2.4416946522898093
pLac,0.001,2,1.7402937074258396,2.7300440322347206
pLac,0.001,2,2.1680348965015432,2.4518073711039348
pLac,0.001,2,1.6308808864875806,2.2149096932571144
pLac,0.001,2,2.4778805594621875,1.6980692486275388
pLac,0.001,2,2.3902006364333275,2.247264664180092
pLac,0.001,2,1.2670075583655445,1.8017484912122008
pLac,0.001,2,1.9410411487491712,2.1197963323002704
pLac,0.001,2,2.101759745935924,2.2170001116476983
pLac,0.001,2,1.6811101955624277,2.282939371792709
pLac,0.001,2,1.901139941175953,2.3531543734829747
pLac,0.001,2,1.8203317521247653,2.734791927223746
pLac,0.001,2,2.7182280964072687,2.5308575487890552
pLac,0.001,2,1.8572879790077648,2.74612203480472
pLac,0.001,2,1.6065888915412287,2.0257100393193563
pLac,0.001,2,1.9611256577166585,2.589092232591382
pLac,0.001,2,2.399687233235708,2.50599054790116
pLac,0.001,2,1.9987546162692245,2.9270930452269006
pLac,0.001,2,1.9776450094046207,2.329292183667736
pLac,0.001,2,1.9803393518248444,2.2393872854191974
pLac,0.001,2,1.8241691610590989,2.30239240627018
pLac,0.001,2,1.7583867486912086,3.1362160513818917
pLac,0.001,2,1.9351314883548318,2.5191326217001984
pLac,0.001,2,2.2955407587051706,2.7742103937720755
pLac,0.001,2,1.7356526392265137,2.664959314961412
pLac,0.001,2,1.78421257546829,2.6938845611047997
pLac,0.001,2,1.5014007761946842,2.9427965336516086
pLac,0.001,2,2.3986431386110336,2.4455130879996214
pLac,0.001,2,2.040529034297915,2.435259118420753
pLac,0.001,2,1.6189012933635818,2.4339611089466566
pLac,0.001,2,1.60030200651124,2.2719704181407345
pLac,0.001,2,2.023801842998544,2.3932083609682206
pLac,0.001,2,0.9461537249153522,1.6208292555082109
pLac,0.001,2,1.9439666904813289,2.829010881226245
pLac,0.001,2,2.0038785804268424,2.095989180894138
pLac,0.001,2,1.5536043333587997,2.3193886472122194
pLac,0.001,2,2.011455140362552,2.6415889695193377
pLac,0.001,2,1.5319796561710242,2.2149096932571144
pLac,0.001,2,2.4681585393707075,2.6610139248484463
pLac,0.001,2,1.5874542094598512,2.7474367808134152
pLac,0.001,2,1.8847831786179168,2.1663325798709936
pLac,0.001,2,2.011455140362552,2.101387431900668
pLac,0.001,2,2.171538614061482,2.58536932338007
pLac,0.001,2,1.3177162811844934,2.0932660509840075
pLac,0.001,2,1.75393225930466,2.4867036970268606
pLac,0.001,2,1.5465126946565917,2.588164333300233
pLac,0.001,2,2.645478637786537,2.317717075079019
pLac,0.001,2,1.8847831786179168,2.416744086135677
pLac,0.001,2,1.5465126946565917,2.655432757338357
pLac,0.001,2,1.60030200651124,2.0592619011988704
pLac,0.001,2,1.3295361273385853,1.9388770965962805
pLac,0.001,2,2.06781259825252,2.2353972946851504
pLac,0.001,2,0.8869702130519402,2.515882222914736
pLac,0.001,2,1.2247643745996524,2.889662609784964
pLac,0.001,2,1.9803393518248444,2.458016478612577
pLac,0.001,2,1.60030200651124,2.0794025782278087
pLac,0.001,2,1.5245304394234362,2.317717075079019
pLac,0.001,2,1.3738949139910557,2.117211277332684
pLac,0.001,2,1.974934187723433,2.4221107677009948
pLac,0.001,2,1.9410411487491712,2.47138777305642
pLac,0.001,2,2.13896100256618,2.2588328241882474
pLac,0.001,2,2.5195670865221884,2.388926718300578
pLac,0.001,2,1.423747176711213,2.396040752944139
pLac,0.001,2,2.0213598645720268,2.71830466696962
